#TYPE Selected.System.String
"Alpha","NumberOfDetectors","Fi","Filtering","Value"
"0.8","180","180","True","84.73062155770444"
"0.8","180","225","False","1760.5293204094046"
"0.8","180","225","True","66.60200519461468"
"0.8","180","270","False","1465.2658966856595"
"0.8","180","270","True","56.69053020059664"
"0.8","180","45","False","3392.959074663411"
"0.8","180","45","True","174.42281117003492"
"0.8","180","90","False","3092.023448622837"
"0.8","180","90","True","153.6439565294582"
"0.8","270","135","False","4166.834819877422"
"0.8","270","135","True","190.4913787700966"
"0.8","270","180","False","3318.849478340878"
"0.8","270","180","True","136.32706100283323"
"0.8","270","225","False","2650.8125805015557"
"0.8","270","225","True","104.76420746889366"
"0.8","270","270","False","2207.2448239421274"
"0.8","270","270","True","84.98254476201635"
"0.8","270","45","False","5100.675705841543"
"0.8","270","45","True","256.8978047966895"
"0.8","270","90","False","4647.118806707265"
"0.8","270","90","True","228.13034862332754"
"0.8","360","135","False","5563.282786622084"
"0.8","360","135","True","259.03375118025684"
"0.8","360","180","False","4434.470093017945"
"0.8","360","180","True","190.76032161832546"
"0.8","360","225","False","3545.888526040066"
"0.8","360","225","True","147.32931537521068"
"0.8","360","270","False","2950.151178621489"
"0.8","360","270","True","118.82565169416215"
"0.8","360","45","False","6810.428979655514"
"0.8","360","45","True","341.2760672543338"
"0.8","360","90","False","6202.651471818837"
"0.8","360","90","True","304.6057874265946"
"0.8","450","135","False","6961.81439592863"
"0.8","450","135","True","328.4862729212502"
"0.8","450","180","False","5548.900648516398"
"0.8","450","180","True","245.89455741804318"
"0.8","450","225","False","4436.88425715732"
"0.8","450","225","True","190.88907745521126"
"0.8","450","270","False","3695.7727648667415"
"0.8","450","270","True","154.61149608059384"
"0.8","450","45","False","8519.852997774968"
"0.8","450","45","True","426.35043669740105"
"0.8","450","90","False","7759.77445461563"
"0.8","450","90","True","381.94369339400595"
"0.8","540","135","False","8359.523642235754"
"0.8","540","135","True","398.25493102286634"
"0.8","540","180","False","6666.434599880023"
"0.8","540","180","True","301.57437501778503"
"0.8","540","225","False","5328.723081062196"
"0.8","540","225","True","234.95722979791645"
"0.8","540","270","False","4438.564463230886"
"0.8","540","270","True","190.96051901473885"
"0.8","540","45","False","10229.360019545617"
"0.8","540","45","True","511.78220462710374"
"0.8","540","90","False","9317.098229183988"
"0.8","540","90","True","459.6741508148631"
"0.8","90","135","False","1374.8028171437122"
"0.8","90","135","True","67.44498282270824"
"0.8","90","180","False","1090.7351304325502"
"0.8","90","180","True","48.92738257673469"
"0.8","90","225","False","871.5825053634363"
"0.8","90","225","True","48.013025410973185"
"0.8","90","270","False","725.6475833614996"
"0.8","90","270","True","49.63629114366224"
"0.8","90","45","False","1688.42455804205"
"0.8","90","45","True","98.45941426438759"
"0.8","90","90","False","1538.177847117177"
"0.8","90","90","True","86.1297683686413"
"1.0","180","135","False","2212.69910436314"
"1.0","180","135","True","96.35139309077991"
"1.0","180","180","False","1755.9957727846092"
"1.0","180","180","True","66.02239024974054"
"1.0","180","225","False","1403.893685313961"
"1.0","180","225","True","53.57047563484851"
"1.0","180","270","False","1168.9706742928906"
"1.0","180","270","True","47.577684765466906"
"1.0","180","45","False","2709.911417221175"
"1.0","180","45","True","137.91414951648582"
"1.0","180","90","False","2468.3201625615347"
"1.0","180","90","True","121.42268366736519"
